ahe,female,ne,midwest,south,west,race,yrseduc,ba,hsdipl,age
12.5,0,1,0,0,0,1,13,0,1,27
6.25,0,1,0,0,0,1,14,0,1,52
17.307692,0,1,0,0,0,1,12,0,1,36
12.286325,0,1,0,0,0,1,13,0,1,47
11.365385,0,1,0,0,0,1,12,0,1,29
10,0,1,0,0,0,1,12,0,1,37
23.557692,0,1,0,0,0,1,14,0,1,42
24.428274,1,1,0,0,0,1,14,0,1,50
15.033761,0,1,0,0,0,1,12,0,1,41
20.032051,0,1,0,0,0,1,12,0,1,41
8.5470085,1,1,0,0,0,1,14,0,1,36
12.961538,0,1,0,0,0,1,13,0,1,44
14.874221,1,1,0,0,0,1,12,0,1,56
10.683761,0,1,0,0,0,1,18,1,1,34
11.870845,0,1,0,0,0,1,16,1,1,30
9.6153851,1,1,0,0,0,1,12,0,1,49
24,1,1,0,0,0,1,16,1,1,43
17.307692,0,1,0,0,0,1,14,0,1,38
12.237762,0,1,0,0,0,1,10,0,0,51
20.673077,1,1,0,0,0,1,12,0,1,43
20.192308,0,1,0,0,0,1,12,0,1,49
5.5769229,1,1,0,0,0,1,12,0,1,37
4.8076925,1,1,0,0,0,1,12,0,1,27
7.6721611,1,1,0,0,0,1,13,0,1,48
14.423077,0,1,0,0,0,1,12,0,1,44
11.076923,0,1,0,0,0,1,14,0,1,34
8.6538458,1,1,0,0,0,1,12,0,1,47
18.26923,0,1,0,0,0,1,12,0,1,33
9.6153851,0,1,0,0,0,1,12,0,1,30
7.6923075,1,1,0,0,0,1,14,0,1,26
4.3269229,0,1,0,0,0,1,12,0,1,29
9.6153851,1,1,0,0,0,1,12,0,1,34
14.423077,0,1,0,0,0,1,12,0,1,30
25,1,1,0,0,0,1,18,1,1,56
23.846153,0,1,0,0,0,1,16,1,1,49
2.8,0,1,0,0,0,1,14,0,1,52
16.10577,1,1,0,0,0,1,12,0,1,49
7.3846154,0,1,0,0,0,1,18,1,1,43
27.213352,1,1,0,0,0,1,16,1,1,28
13.942307,0,1,0,0,0,1,12,0,1,40
11.180679,0,1,0,0,0,1,16,1,1,34
13.513514,1,1,0,0,0,1,12,0,1,42
12.019231,1,1,0,0,0,1,12,0,1,28
15.796703,1,1,0,0,0,1,14,0,1,34
9.0170937,0,1,0,0,0,1,14,0,1,49
25.961538,0,1,0,0,0,1,14,0,1,37
11.538462,1,1,0,0,0,1,16,1,1,42
31.13553,0,1,0,0,0,1,16,1,1,44
19.23077,1,1,0,0,0,1,14,0,1,52
21.367521,0,1,0,0,0,1,12,0,1,37
26.923077,0,1,0,0,0,1,18,1,1,46
